Player,Pos,Seasons,Indct,From,To,AP1,PB,St,G,Cmp,Patt,PYds,PTD,PLng,PInt,Sk,Ratt,Ryds,RTD,RLng,Rec,RcYds,RcTD,RcLng
Charley Trippi\TripCh00,HB,8,1968,1947,1955,1,2,7,99,205,434,2547,16,80,31,,687,3506,23,59,130,1321,11,62
Hugh McElhenny\McElHu00,HB,12,1970,1952,1964,2,6,10,143,2,7,13,1,11,1,,1124,5281,38,89,264,3247,20,77
Tony Canadeo\CanaTo00,HB,11,1974,1941,1952,1,0,8,116,105,268,1642,16,51,20,,1025,4197,26,54,69,579,5,46
Lenny Moore\MoorLe00,HB,11,1975,1956,1967,5,7,10,143,3,12,33,2,13,2,,1069,5174,63,79,363,6039,48,82
Frank Gifford\GiffFr00,HB,12,1977,1952,1964,4,8,11,136,29,63,823,14,83,6,,840,3609,34,79,367,5434,43,77
Doak Walker\WalkDo00,HB,5,1986,1950,1955,4,5,4,67,7,28,75,2,23,2,,309,1520,12,51,152,2539,21,83
Paul Hornung\HornPa00,HB,9,1986,1957,1966,2,2,9,104,24,55,383,5,41,4,,893,3711,50,72,130,1480,12,83
Jan Stenerud\stenejan01,K,18,1991,1967,1985,1,6,18,263,,,,,,,,1,0,0,0,,,,
Morten Andersen\andermor01,K,25,2017,1982,2007,3,7,24,382,,,,,,,,,,,,,,,
Chuck Bednarik\BednCh00,LB,13,1967,1949,1962,6,8,14,169,,,,,,,,,,,,,,,
Joe Schmidt\SchmJo00,LB,12,1973,1953,1965,8,10,11,155,,,,,,,,,,,,,,,
Bill George\GeorBi00,LB,14,1974,1952,1966,8,8,14,173,,,,,,,,,,,,,,,
Ray Nitschke\NitsRa00,LB,14,1978,1958,1972,2,1,13,190,,,,,,,,,,,,1,34,0,34
Dick Butkus\ButkDi00,LB,8,1979,1965,1973,5,8,9,119,,,,,,,,1,28,0,28,,,,
Sam Huff\HuffSa00,LB,13,1982,1956,1969,2,5,13,168,,,,,,,,,,,,,,,
Bobby Bell\BellBo00,LB,11,1983,1963,1974,6,9,12,168,,,,,,,,,,,,,,,
Willie Lanier\LaniWi00,LB,10,1986,1967,1977,3,8,11,149,,,,,,,,,,,,,,,
Jack Ham\HamxJa00,LB,11,1988,1971,1982,6,8,12,162,,,,,,,,,,,,,,,
Jack Lambert\LambJa00,LB,10,1990,1974,1984,6,9,10,146,,,,,,,,,,,,,,,
Ted Hendricks\HendTe00,LB,14,1990,1969,1983,4,8,14,215,,,,,,,,,,,,,,,
Mike Singletary\SingMi00,LB,11,1998,1981,1992,7,10,12,179,,,,,,,,,,,,,,,
Lawrence Taylor\TaylLa00,LB,12,1999,1981,1993,8,10,13,184,,,,,,,,,,,,,,,
Dave Wilcox\WilcDa00,LB,10,2000,1964,1974,2,7,11,153,,,,,,,,,,,,,,,
Nick Buoniconti\BuonNi00,LB,14,2001,1962,1976,5,8,13,183,,,,,,,,,,,,,,,
Harry Carson\CarsHa00,LB,12,2006,1976,1988,0,9,13,173,,,,,,,,,,,,1,13,1,13
Andre Tippett\TippAn00,LB,11,2008,1982,1993,2,5,10,151,,,,,,,,,,,,,,,
Derrick Thomas\ThomDe01,LB,10,2009,1989,1999,2,9,11,169,,,,,,,,,,,,,,,
Rickey Jackson\JackRi01,LB,14,2010,1981,1995,0,6,15,227,,,,,,,,,,,,,,,
Les Richter\RichLe00,LB,8,2011,1954,1962,1,8,7,112,,,,,,,,0,8,0,8,,,,
Chris Hanburger\HanbCh00,LB,13,2011,1965,1978,4,9,12,187,,,,,,,,,,,,1,1,0,1
Dave Robinson\RobiDa00,LB,11,2013,1963,1974,1,3,10,155,,,,,,,,,,,,,,,
